case,subcase_id,subcase,method,GP_method,RMISE,coverage,CI_width,rmw2,rmw2_emp,n_expected,n_read,fit_fail,pred_fail,CI_fail,OOM,Timeout,unknown_missing,mean_time_total,mean_time_fit,max_time_fit,oracle_RMISE,rel_RMISE,rel_rmw2_emp_bound
2re,4,"d=500, n_i=2",PACE-AIC-GCV,FPC,3.361295107329343,0.88097,3.8184297247410193,0.743549095478357,0.19563960158628635,2,2,0,0,0,0,0,0,1.6264333333333334,0.26498333333333335,0.26513333333333333,1.376061895590627,2.442691799039042,3.8006062650378922
2re,4,"d=500, n_i=2",PACE-AIC-default,FPC,3.012736796925565,0.87035,3.4208172212984516,0.6546284735930913,0.19563960158628635,2,2,0,0,0,0,0,0,1.5204083333333336,0.1811583333333333,0.18791666666666665,1.376061895590627,2.189390467521413,3.346093880202312
2re,4,"d=500, n_i=2",PACE-BIC-GCV,FPC,3.361295107329343,0.88097,3.8184297247410193,0.743549095478357,0.19563960158628635,2,2,0,0,0,0,0,0,1.6385666666666667,0.26335000000000003,0.26345,1.376061895590627,2.442691799039042,3.8006062650378922
2re,4,"d=500, n_i=2",PACE-BIC-default,FPC,3.012736796925565,0.87035,3.4208172212984516,0.6546284735930913,0.19563960158628635,2,2,0,0,0,0,0,0,1.562675,0.20735000000000003,0.20745000000000005,1.376061895590627,2.189390467521413,3.346093880202312
2re,4,"d=500, n_i=2",PACE-FVE95-GCV,FPC,3.361295107329343,0.88097,3.8184297247410193,0.743549095478357,0.19563960158628635,2,2,0,0,0,0,0,0,1.4528666666666665,0.09970000000000001,0.10118333333333333,1.376061895590627,2.442691799039042,3.8006062650378922
2re,4,"d=500, n_i=2",PACE-FVE95-default,FPC,2.972057371885049,0.95416,4.878993865351106,0.6671555561209824,0.19563960158628635,2,2,0,0,0,0,0,0,2.112866666666667,0.10677499999999998,0.11063333333333333,1.376061895590627,2.1598282616563522,3.410125305467539
2re,4,"d=500, n_i=2",PACE-FVE99-GCV,FPC,3.309415121973412,0.9770099999999999,5.366012870123841,0.6245130042491909,0.19563960158628635,2,2,0,0,0,0,0,0,2.2332833333333335,0.30257500000000004,0.35845000000000005,1.376061895590627,2.404990017220817,3.192160478683816
2re,4,"d=500, n_i=2",PACE-FVE99-default,FPC,2.9461809449863168,0.9807699999999999,6.226002434448147,0.8350902918878539,0.19563960158628635,2,2,0,0,0,0,0,0,2.4829333333333334,0.29009166666666664,0.29013333333333335,1.376061895590627,2.1410235647298195,4.26851355817927
2re,4,"d=500, n_i=2",PACE-Oracle-GCV,FPC,3.309415121973412,0.9770099999999999,5.366012870123841,0.6245130042491909,0.19563960158628635,2,2,0,0,0,0,0,0,1.9763416666666667,0.23018333333333335,0.23096666666666668,1.376061895590627,2.404990017220817,3.192160478683816
2re,4,"d=500, n_i=2",PACE-Oracle-default,FPC,2.9461809449863168,0.9807699999999999,6.226002434448147,0.8350902918878539,0.19563960158628635,2,2,0,0,0,0,0,0,2.172341666666667,0.15427500000000002,0.15433333333333335,1.376061895590627,2.1410235647298195,4.26851355817927
