case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,fit_cutoff_minutes,fit_time_exempt,decision_stage,decision,decision_reason
2re,8,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.4387166666666667,0.4503166666666667,0.01867322429457629,0.45378333333333326,1.0076982863910575,0.6004166666666667,0.61995,0.6004166666666667,0.61995,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,8,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.69804,0.17634999999999998,7.727092577154533,17.51696666666667,99.33068708061622,3.76255,17.576916666666666,3.76255,17.576916666666666,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,9,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02626333333333333,0.02721666666666665,0.00438055044740068,0.03185000000000002,1.1702388242498485,1.668483333333333,1.6787833333333333,1.668483333333333,1.6787833333333333,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,9,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.05951333333333333,0.0593,6.71792792128297e-4,0.06044999999999998,1.0193929173693084,0.20061333333333337,0.2016166666666667,0.20061333333333337,0.2016166666666667,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,9,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.0282933333333335,1.0038333333333334,0.36946772329332855,1.5678833333333335,1.5618960650838454,1.19079,1.7094166666666666,1.19079,1.7094166666666666,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,9,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.6666666666660768e-5,1.6666666666672234e-5,1.4907119849991164e-5,4.999999999997229e-5,2.999999999997335,0.06849333333333334,0.07570000000000002,0.06849333333333334,0.07570000000000002,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,9,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.04128,0.04266666666666667,0.0024218163523365,0.04358333333333333,1.021484375,0.37671333333333334,0.3997833333333334,0.37671333333333334,0.3997833333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,9,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.9181633333333337,4.73365,1.9195330830337651,5.7555000000000005,1.2158693608526192,4.001973333333334,5.838800000000001,4.001973333333334,5.838800000000001,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,10,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03736333333333335,0.04106666666666667,0.00682079540816171,0.04328333333333335,1.053977272727273,1.6263766666666668,1.6367166666666668,1.6263766666666668,1.6367166666666668,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,10,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07193666666666666,0.05604999999999999,0.03579414795434833,0.13596666666666668,2.425810288432947,0.23792666666666665,0.42035,0.23792666666666665,0.42035,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
