case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,decision,n_full_seeds,projected_total_hours,projected_total_hours_buffered,suggested_walltime_minutes
sitar,11,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07612666666666666,0.06646666666666666,0.034334584524127326,0.13659999999999997,2.0551654964894683,0.49949333333333334,0.7361,0.49949333333333334,0.7361,include,100,0.832488888888889,1.0406111111111112,0.920125
sitar,11,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.8586533333333334,1.0047333333333335,0.24867717845297618,1.1018166666666667,1.0966259704067414,1.2967366666666666,1.4927,1.2967366666666666,1.4927,include,100,2.1612277777777775,2.701534722222222,1.865875
sitar,11,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.08182333333333332,0.08068333333333336,0.001998075462928114,0.08508333333333327,1.054534187151414,0.5686,0.5711666666666666,0.5686,0.5711666666666666,include,100,0.9476666666666667,1.1845833333333333,0.7139583333333333
sitar,11,Oracle-SITAR,5,5,5,0,0,0,0,0,0,0,0,5,0,0,5,1,0,11.46044,9.888766666666667,2.1835066839769968,13.9217,1.407829759693659,17.8643,20.020616666666665,17.8643,20.020616666666665,include,100,29.773833333333336,37.21729166666667,25.025770833333333
sitar,11,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.15913666666666668,0.15583333333333335,0.006576424644980808,0.16818333333333335,1.0792513368983958,0.7877633333333334,0.8503666666666667,0.7877633333333334,0.8503666666666667,include,100,1.312938888888889,1.6411736111111113,1.0629583333333334
sitar,12,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.5544533333333334,0.5640000000000001,0.0413374903823528,0.6078,1.077659574468085,2.4793633333333336,2.7690833333333336,2.4793633333333336,2.7690833333333336,include,100,4.132272222222222,5.165340277777778,3.461354166666667
sitar,12,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.12107333333333332,0.08543333333333329,0.04895646535443507,0.17535,2.052477565353103,0.7071200000000001,0.79989999999999994,0.7071200000000001,0.79989999999999994,include,100,1.1785333333333334,1.4731666666666667,0.999875
sitar,12,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.8565633333333333,0.8124833333333332,0.09175440301272873,0.9802833333333335,1.2065273133807877,1.3341233333333333,1.46545,1.3341233333333333,1.46545,include,100,2.2235388888888887,2.779423611111111,1.8318124999999998
sitar,12,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.09843666666666664,0.11701666666666669,0.027236817402593535,0.11904999999999995,1.017376442102264,0.5128533333333334,0.5547166666666666,0.5128533333333334,0.5547166666666666,include,100,0.8547555555555557,1.0684444444444448,0.6933958333333333
sitar,12,Oracle-SITAR,5,5,5,0,0,0,0,0,0,0,0,5,0,0,5,1,0,8.550723333333334,8.60125,0.2800900506483976,8.784699999999999,1.0213282953059146,15.77117,17.827883333333332,15.77117,17.827883333333332,include,100,26.285283333333332,32.85660416666666,22.284854166666666
sitar,12,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.3274000000000001,1.3323500000000001,0.029576884273589968,1.3578666666666666,1.019151624322938,1.9950233333333334,2.0317666666666665,1.9950233333333334,2.0317666666666665,include,100,3.325038888888889,4.1562986111111115,2.539708333333333
sitar,13,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.14930000000000002,0.14235,0.031642089146507915,0.19419999999999996,1.3642430628731994,2.82046,2.8721000000000005,2.82046,2.8721000000000005,include,100,4.7007666666666665,5.875958333333333,3.5901250000000005
sitar,13,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.13223000000000001,0.11248333333333337,0.040035368738154525,0.17678333333333332,1.5716402429989622,0.6585333333333333,0.79989999999999994,0.6585333333333333,0.79989999999999994,include,100,1.0975555555555554,1.3719444444444442,0.999875
sitar,13,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6.33515,6.751566666666666,1.5358665033947447,7.339650000000001,1.0871032402355998,6.964933333333334,7.919899999999999,6.964933333333334,7.919899999999999,include,100,11.608222222222222,14.510277777777778,9.899875
sitar,13,Oracle-SITAR,5,5,5,0,0,0,0,0,0,0,0,5,0,0,5,1,0,15.737546666666667,14.893266666666667,1.2653166346917983,17.136833333333335,1.1506430198881823,24.10538,25.378666666666668,24.10538,25.378666666666668,include,100,40.17563333333333,50.219541666666665,31.723333333333336
sitar,13,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.04433000000000002,0.042750000000000024,0.0029284618639976957,0.04793333333333329,1.121247563352825,1.0057966666666667,1.073683333333333,1.0057966666666667,1.073683333333333,include,100,1.6763277777777779,2.0954097222222225,1.3421041666666664
sitar,14,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.21964666666666668,0.22320000000000004,0.04486827851240414,0.28745000000000004,1.2878584229390682,2.78773,3.02935,2.78773,3.02935,include,100,4.646216666666666,5.807770833333333,3.7866875
sitar,14,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.10219333333333333,0.09536666666666668,0.010932454232950445,0.12000000000000005,1.2583012932541073,0.5378933333333333,0.6165166666666668,0.5378933333333333,0.6165166666666668,include,100,0.8964888888888889,1.1206111111111112,0.7706458333333335
sitar,14,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5.909306666666667,6.696716666666668,1.883688483128838,6.863166666666666,1.0248554639960377,6.52259,7.4773000000000005,6.52259,7.4773000000000005,include,100,10.870983333333333,13.588729166666667,9.346625000000001
sitar,14,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.29283000000000003,0.28235,0.02995564174278732,0.34598333333333336,1.225370403163922,0.6499533333333334,0.6981,0.6499533333333334,0.6981,include,100,1.0832555555555556,1.3540694444444445,0.8726250000000001
sitar,14,Oracle-SITAR,5,5,5,0,0,0,0,0,0,0,0,5,0,0,5,1,0,14.089253333333334,14.151366666666666,0.1995652421863318,14.281133333333335,1.0091699034957755,22.633793333333333,22.803316666666667,22.633793333333333,22.803316666666667,include,100,37.722988888888885,47.15373611111111,28.504145833333332
sitar,14,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.11207999999999994,0.09038333333333325,0.05235363778085424,0.2054666666666666,2.273280472063435,1.7502300000000002,4.246766666666667,1.7502300000000002,4.246766666666667,include,100,2.9170500000000006,3.6463125000000005,5.308458333333333
sitar,15,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.4758666666666667,0.45855000000000007,0.06949921961991933,0.5936333333333333,1.2945880129393377,3.2900833333333335,3.427333333333334,3.2900833333333335,3.427333333333334,include,100,5.483472222222222,6.854340277777777,4.284166666666668
sitar,15,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.21002333333333334,0.1185000000000001,0.12592500943021603,0.3480333333333333,2.936990154711671,0.8861066666666666,1.0966999999999998,0.8861066666666666,1.0966999999999998,include,100,1.4768444444444444,1.8460555555555556,1.3708749999999998
