case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label
2re,9,HGAM-GS,time,1.0729921666666669,0.9311226622590617,1.214861671074272,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2357828333333332,1.0729921666666669,5.04955,4.446666666666667,200,2,"d=200, n_i=2",0,TRUE,HGAM-GS
2re,9,PACE,RMISE,4.424196011818568,3.27426730010815,5.3316221123992955,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3150948333333323,0.02498900000000064,0.40139999999998205,0.03760000000000521,200,2,"d=200, n_i=2",0,TRUE,PACE
2re,9,PACE,ci_width,4.703809749006953,4.438854565605605,4.968764932408301,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3150948333333323,0.02498900000000064,0.40139999999998205,0.03760000000000521,200,2,"d=200, n_i=2",0,TRUE,PACE
2re,9,PACE,coverage,0.900811,0.8779214058197968,0.9237005941802032,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3150948333333323,0.02498900000000064,0.40139999999998205,0.03760000000000521,200,2,"d=200, n_i=2",0,TRUE,PACE
2re,9,PACE,rmw2,0.9779813081196289,0.939846358168242,1.0146840400344601,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3150948333333323,0.02498900000000064,0.40139999999998205,0.03760000000000521,200,2,"d=200, n_i=2",0,TRUE,PACE
2re,9,PACE,time,0.02498900000000064,0.02375133461845367,0.02622666538154761,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3150948333333323,0.02498900000000064,0.40139999999998205,0.03760000000000521,200,2,"d=200, n_i=2",0,TRUE,PACE
2re,9,bayesFPCA,RMISE,2.4527980873000295,2.284451805257812,2.6103097256033982,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9807993333333336,1.9159096666666673,11.214533333333334,11.139299999999999,200,2,"d=200, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,9,bayesFPCA,ci_width,2.3604821823215896,2.128594964394529,2.59236940024865,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9807993333333336,1.9159096666666673,11.214533333333334,11.139299999999999,200,2,"d=200, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,9,bayesFPCA,coverage,0.903563,0.8924911737339023,0.9146348262660977,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9807993333333336,1.9159096666666673,11.214533333333334,11.139299999999999,200,2,"d=200, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,9,bayesFPCA,rmw2,0.5874123464590584,0.5292491015368751,0.640313921500606,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9807993333333336,1.9159096666666673,11.214533333333334,11.139299999999999,200,2,"d=200, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,9,bayesFPCA,time,1.9159096666666673,1.4866474060303267,2.345171927303008,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9807993333333336,1.9159096666666673,11.214533333333334,11.139299999999999,200,2,"d=200, n_i=2",0,TRUE,bayesFPCA (oracle K)
2re,13,AdaStruMM,RMISE,1.8681070233009205,1.7696019666919327,1.9616718840041767,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5899501666666667,0.055867999999999786,6.084183333333325,0.159050000000002,300,2,"d=300, n_i=2",0,TRUE,AdaStruMM
2re,13,AdaStruMM,ci_width,1.585315492911913,1.544782175035557,1.6258488107882691,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5899501666666667,0.055867999999999786,6.084183333333325,0.159050000000002,300,2,"d=300, n_i=2",0,TRUE,AdaStruMM
2re,13,AdaStruMM,coverage,0.9479106666666667,0.9366457566805473,0.9591755766527861,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5899501666666667,0.055867999999999786,6.084183333333325,0.159050000000002,300,2,"d=300, n_i=2",0,TRUE,AdaStruMM
2re,13,AdaStruMM,rmw2,0.34770815457540655,0.3110107694981576,0.3808861020996087,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5899501666666667,0.055867999999999786,6.084183333333325,0.159050000000002,300,2,"d=300, n_i=2",0,TRUE,AdaStruMM
2re,13,AdaStruMM,time,0.055867999999999786,0.05106865730260856,0.06066734269739101,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5899501666666667,0.055867999999999786,6.084183333333325,0.159050000000002,300,2,"d=300, n_i=2",0,TRUE,AdaStruMM
2re,13,FACE,RMISE,4.403947245043013,3.818318942759559,4.920360060565428,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21405166666666714,0.08089533333333365,0.2717166666666647,0.10114999999999934,300,2,"d=300, n_i=2",0,TRUE,FACE
2re,13,FACE,ci_width,4.39726386288516,4.200406012712932,4.594121713057389,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21405166666666714,0.08089533333333365,0.2717166666666647,0.10114999999999934,300,2,"d=300, n_i=2",0,TRUE,FACE
2re,13,FACE,coverage,0.911737,0.8924261619230744,0.9310478380769256,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21405166666666714,0.08089533333333365,0.2717166666666647,0.10114999999999934,300,2,"d=300, n_i=2",0,TRUE,FACE
2re,13,FACE,rmw2,0.9888178136066835,0.9179120073438878,1.0549686648359364,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21405166666666714,0.08089533333333365,0.2717166666666647,0.10114999999999934,300,2,"d=300, n_i=2",0,TRUE,FACE
2re,13,FACE,time,0.08089533333333365,0.07962208691949972,0.08216857974716758,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21405166666666714,0.08089533333333365,0.2717166666666647,0.10114999999999934,300,2,"d=300, n_i=2",0,TRUE,FACE
