case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
sitar,AdaStruMM CI width / oracle CI width,ci_width,3,400,Oracle,NA,5.216045144566363,AdaStruMM CI width,oracle CI width,5.216045144566363,1.7031308135711158,3.0626215573126685,1.7031308135711158
sitar,AdaStruMM CI width / oracle CI width,ci_width,3,500,Oracle,NA,5.254254759006386,AdaStruMM CI width,oracle CI width,5.254254759006386,1.704553448170945,3.0824816696973714,1.704553448170945
sitar,AdaStruMM CI width / oracle CI width,ci_width,5,50,Oracle,NA,2.0061482304271845,AdaStruMM CI width,oracle CI width,2.0061482304271845,1.1952762604858607,1.6783971176769774,1.1952762604858607
sitar,AdaStruMM CI width / oracle CI width,ci_width,5,100,Oracle,NA,1.8280404222662336,AdaStruMM CI width,oracle CI width,1.8280404222662336,1.1951509539914935,1.5295477246293063,1.1951509539914935
sitar,AdaStruMM CI width / oracle CI width,ci_width,5,200,Oracle,NA,1.7886678873199382,AdaStruMM CI width,oracle CI width,1.7886678873199382,1.1951333359924947,1.4966262202321925,1.1951333359924947
sitar,AdaStruMM CI width / oracle CI width,ci_width,5,300,Oracle,NA,1.7772359992268405,AdaStruMM CI width,oracle CI width,1.7772359992268405,1.195040958240669,1.4871758051232613,1.195040958240669
sitar,AdaStruMM CI width / oracle CI width,ci_width,5,400,Oracle,NA,1.7440948793146673,AdaStruMM CI width,oracle CI width,1.7440948793146673,1.1950617954734284,1.4594181538735722,1.1950617954734284
sitar,AdaStruMM CI width / oracle CI width,ci_width,5,500,Oracle,NA,1.7479781690195535,AdaStruMM CI width,oracle CI width,1.7479781690195535,1.1950767288540687,1.462649323525569,1.1950767288540687
sitar,AdaStruMM CI width / oracle CI width,ci_width,10,50,Oracle,NA,1.1771392534888336,AdaStruMM CI width,oracle CI width,1.1771392534888336,0.8564503449493985,1.374439581267706,0.8564503449493985
sitar,AdaStruMM CI width / oracle CI width,ci_width,10,100,Oracle,NA,1.1300767578133943,AdaStruMM CI width,oracle CI width,1.1300767578133943,0.8564714305616372,1.3194564552752663,0.8564714305616372
sitar,AdaStruMM CI width / oracle CI width,ci_width,10,200,Oracle,NA,1.1075819786511611,AdaStruMM CI width,oracle CI width,1.1075819786511611,0.8563701132016224,1.2933449703310627,0.8563701132016224
sitar,AdaStruMM CI width / oracle CI width,ci_width,10,300,Oracle,NA,1.0983281624955001,AdaStruMM CI width,oracle CI width,1.0983281624955001,0.8563909332449606,1.282507929332942,0.8563909332449606
sitar,AdaStruMM CI width / oracle CI width,ci_width,10,400,Oracle,NA,1.0912268480412275,AdaStruMM CI width,oracle CI width,1.0912268480412275,0.8564207004160092,1.2741714994875304,0.8564207004160092
