case,subcase_id,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label
sitar,10,SITAR,100,100,0,0,0,0,0,44,0,0,0,56,0,0,0,0,0.44,0,0,0,0.56,1.1484938333333334,0.9297459999999994,3.2079166666666725,2.9733499999999973,200,3,"d=200, n_i=3"
sitar,11,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.095324333333333,0.29941166666666713,2.255466666666666,0.4208166666666633,200,5,"d=200, n_i=5"
sitar,11,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3773608333333333,0.06105449999999972,0.5809166666666666,0.0860333333333377,200,5,"d=200, n_i=5"
sitar,11,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6427488333333329,1.0902674999999993,3.2369833333333333,2.2806,200,5,"d=200, n_i=5"
sitar,11,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3811266666666662,0.09101599999999978,0.41520000000000434,0.11425000000000789,200,5,"d=200, n_i=5"
sitar,11,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,14.124889833333334,8.342670666666667,26.348883333333333,19.0938,200,5,"d=200, n_i=5"
sitar,11,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6201656666666667,0.14128633333333343,0.8262333333333334,0.16416666666666668,200,5,"d=200, n_i=5"
sitar,11,SITAR,100,100,0,0,0,0,0,3,0,0,0,97,0,0,0,0,0.03,0,0,0,0.97,0.45946400000000004,0.2215610000000003,4.05385,3.834166666666666,200,5,"d=200, n_i=5"
sitar,12,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.300252999999999,0.5045519999999999,2.6090999999999895,0.8014833333333323,200,10,"d=200, n_i=10"
sitar,12,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394977333333333,0.0656656666666669,0.5830000000000001,0.10030000000000049,200,10,"d=200, n_i=10"
sitar,12,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8882841666666672,1.3602610000000006,2.5515499999999975,1.947466666666666,200,10,"d=200, n_i=10"
sitar,12,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36193750000000063,0.07041750000000023,0.5803666666666667,0.09026666666666662,200,10,"d=200, n_i=10"
sitar,12,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,14.066798833333333,8.368631666666666,16.9132,10.161183333333334,200,10,"d=200, n_i=10"
sitar,12,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6522703333333335,1.1397614999999994,1.7715500000000002,1.234433333333334,200,10,"d=200, n_i=10"
sitar,12,SITAR,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0.41265999999999947,0.1725316666666669,3.2214833333333295,2.9738166666666683,200,10,"d=200, n_i=10"
sitar,13,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7208493333333332,0.1233206666666663,2.951350000000001,0.22393333333332824,300,2,"d=300, n_i=2"
sitar,13,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44757066666666734,0.08944916666666677,0.48601666666666765,0.11503333333333406,300,2,"d=300, n_i=2"
sitar,13,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.787661666666667,10.709262333333335,18.934666666666665,17.668116666666673,300,2,"d=300, n_i=2"
sitar,13,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,20.381702833333335,11.973663666666665,23.632783333333336,14.594366666666668,300,2,"d=300, n_i=2"
sitar,13,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7481726666666667,0.02685549999999938,0.8813499999999901,0.035350000000000034,300,2,"d=300, n_i=2"
sitar,13,SITAR,100,100,0,0,0,0,0,81,0,0,0,19,0,0,0,0,0.81,0,0,0,0.19,0.7162081666666669,0.4990483333333329,2.4796166666666664,2.0809,300,2,"d=300, n_i=2"
sitar,14,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.826582,0.21785633333333343,3.0341333333333336,0.3657333333333333,300,3,"d=300, n_i=3"
sitar,14,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35881349999999973,0.07724016666666784,0.372566666666656,0.08116666666666485,300,3,"d=300, n_i=3"
sitar,14,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.275725166666666,9.268828166666667,19.22365,17.780100000000004,300,3,"d=300, n_i=3"
