case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
3re,AdaStruMM CI width / oracle CI width,ci_width,2,300,Oracle,NA,3.3489065830865985,AdaStruMM CI width,oracle CI width,3.3489065830865985,2.7373098932566613,1.2234298320904768,2.7373098932566613
3re,AdaStruMM CI width / oracle CI width,ci_width,2,400,Oracle,NA,3.2521860374787375,AdaStruMM CI width,oracle CI width,3.2521860374787375,2.7381513527714407,1.1877305592282226,2.7381513527714407
3re,AdaStruMM CI width / oracle CI width,ci_width,2,500,Oracle,NA,3.116916491675377,AdaStruMM CI width,oracle CI width,3.116916491675377,2.7422464119773937,1.1366288886591391,2.7422464119773937
3re,AdaStruMM CI width / oracle CI width,ci_width,3,50,Oracle,NA,2.329339681123323,AdaStruMM CI width,oracle CI width,2.329339681123323,1.2733047688716677,1.8293653947337802,1.2733047688716677
3re,AdaStruMM CI width / oracle CI width,ci_width,3,100,Oracle,NA,1.9862396514005891,AdaStruMM CI width,oracle CI width,1.9862396514005891,1.2832709259321267,1.5477944768037573,1.2832709259321267
3re,AdaStruMM CI width / oracle CI width,ci_width,3,200,Oracle,NA,1.782576665795231,AdaStruMM CI width,oracle CI width,1.782576665795231,1.287285494645336,1.3847562745095285,1.287285494645336
3re,AdaStruMM CI width / oracle CI width,ci_width,3,300,Oracle,NA,1.6870937708940135,AdaStruMM CI width,oracle CI width,1.6870937708940135,1.2932308521871598,1.3045573170797296,1.2932308521871598
3re,AdaStruMM CI width / oracle CI width,ci_width,3,400,Oracle,NA,1.6087536412224583,AdaStruMM CI width,oracle CI width,1.6087536412224583,1.2946934745111944,1.242574920546221,1.2946934745111944
3re,AdaStruMM CI width / oracle CI width,ci_width,3,500,Oracle,NA,1.576994922817033,AdaStruMM CI width,oracle CI width,1.576994922817033,1.2910328139243057,1.2214987146790628,1.2910328139243057
3re,AdaStruMM CI width / oracle CI width,ci_width,5,50,Oracle,NA,0.7123044243177743,AdaStruMM CI width,oracle CI width,0.7123044243177743,0.5037110925739917,1.414113039833725,0.5037110925739917
3re,AdaStruMM CI width / oracle CI width,ci_width,5,100,Oracle,NA,0.6241899679658477,AdaStruMM CI width,oracle CI width,0.6241899679658477,0.5003308448302449,1.2475544420564884,0.5003308448302449
3re,AdaStruMM CI width / oracle CI width,ci_width,5,200,Oracle,NA,0.5534465355645907,AdaStruMM CI width,oracle CI width,0.5534465355645907,0.5059251285564934,1.0939297226522142,0.5059251285564934
3re,AdaStruMM CI width / oracle CI width,ci_width,5,300,Oracle,NA,0.5410790208923828,AdaStruMM CI width,oracle CI width,0.5410790208923828,0.506051243430787,1.0692178468412095,0.506051243430787
3re,AdaStruMM CI width / oracle CI width,ci_width,5,400,Oracle,NA,0.527496903366325,AdaStruMM CI width,oracle CI width,0.527496903366325,0.506623695856467,1.0412006143427046,0.506623695856467
