case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
3re,20,400,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61834,0.26942333333333335,3.8500333333333336,0.3337666666666667
3re,20,400,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48595,0.19772333333333333,1.1136499999999998,0.5121666666666667
3re,20,400,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17345,11.459626666666667,15.991066666666667,15.290116666666668
3re,20,400,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2234,0.10572666666666668,0.23813333333333334,0.12168333333333334
3re,20,400,10,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10945333333333333,3.33333333333267e-5,0.11048333333333335,3.333333333334447e-5
3re,20,400,10,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.526013333333333,6.878556666666667,8.81515,6.9881833333333345
3re,20,400,10,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3761466666666666,1.26482,1.98925,1.8826333333333334
3re,21,500,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4365033333333335,0.12764666666666669,4.8341,0.17076666666666665
3re,21,500,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55149,0.19457333333333332,0.58845,0.20718333333333333
3re,21,500,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.159276666666667,9.997716666666667,14.75475,13.63985
3re,21,500,2,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12584666666666666,3.999999999999559e-5,0.21175,6.666666666662971e-5
3re,21,500,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8685433333333334,0.16943333333333332,2.4175666666666666,0.2903833333333334
3re,21,500,2,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.061563333333334,6.799016666666667,17.881383333333336,17.49416666666667
3re,22,500,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.125606666666667,0.15103,4.2555000000000005,0.17823333333333335
